"","Hit","TTseq_Pos","TTseq_Neg","TTseq_Total","RNAseq_Pos","RNAseq_Neg","RNAseq_Total","TPM_TTseq_Total","TPM_TTseq_Pos","TPM_TTseq_Neg","TPM_RNAseq_Total","TPM_RNAseq_Pos","TPM_RNAseq_Neg","FractionPos_TTseq","FractionPos_RNAseq","Ratio_TTversusRNA","PassThresh_TT","PassThresh_RNA","TT_Enrich"
"Enh132",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh133",FALSE,0,111,111,1,15,16,1.75039000187323,0,1.75039000187323,0.241476472879332,0.0150922795549583,0.226384193324374,0,0.0625,6.93379138038726,TRUE,TRUE,TRUE
"Enh134",FALSE,9,40,49,0,4,4,0.772694685511607,0.141923513665397,0.63077117184621,0.060369118219833,0,0.060369118219833,0.183673469387755,0,12.2219451371571,TRUE,TRUE,TRUE
"Enh135",FALSE,1,2,3,0,0,0,0.0473078378884657,0.0157692792961553,0.0315385585923105,0,0,0,0.333333333333333,0,301,TRUE,FALSE,TRUE
"Enh136",FALSE,5,3,8,0,1,1,0.126154234369242,0.0788463964807763,0.0473078378884657,0.0150922795549583,0,0.0150922795549583,0.625,0,7.93069306930693,TRUE,FALSE,TRUE
"Enh137",FALSE,8,1,9,1,1,2,0.141923513665397,0.126154234369242,0.0157692792961553,0.0301845591099165,0.0150922795549583,0.0150922795549583,0.888888888888889,0.5,4.48258706467662,TRUE,FALSE,TRUE
"Enh138",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh139",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh140",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh141",FALSE,0,1,1,2,0,2,0.0157692792961553,0,0.0157692792961553,0.0301845591099165,0.0301845591099165,0,0,1,0.502487562189055,FALSE,FALSE,FALSE
"Enh144",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh146",FALSE,1,1,2,0,0,0,0.0315385585923105,0.0157692792961553,0.0157692792961553,0,0,0,0.5,0,201,FALSE,FALSE,FALSE
"Enh147",FALSE,0,0,0,0,1,1,0,0,0,0.0150922795549583,0,0.0150922795549583,0,0,0.0099009900990099,FALSE,FALSE,FALSE
"Enh148",TRUE,8,4,12,0,2,2,0.189231351553863,0.126154234369242,0.063077117184621,0.0301845591099165,0,0.0301845591099165,0.666666666666667,0,5.97512437810945,TRUE,FALSE,TRUE
"Enh149",FALSE,0,10,10,0,5,5,0.157692792961553,0,0.157692792961553,0.0754613977747913,0,0.0754613977747913,0,0,1.99800399201597,TRUE,TRUE,TRUE
"Enh150",FALSE,20,0,20,1,0,1,0.315385585923105,0.315385585923105,0,0.0150922795549583,0.0150922795549583,0,1,1,19.8118811881188,TRUE,FALSE,TRUE
"Enh151",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh152",FALSE,0,1,1,1,0,1,0.0157692792961553,0,0.0157692792961553,0.0150922795549583,0.0150922795549583,0,0,1,1,FALSE,FALSE,FALSE
"Enh153",FALSE,0,2,2,0,1,1,0.0315385585923105,0,0.0315385585923105,0.0150922795549583,0,0.0150922795549583,0,0,1.99009900990099,FALSE,FALSE,FALSE
"Enh154",FALSE,4,8,12,2,1,3,0.189231351553863,0.063077117184621,0.126154234369242,0.0452768386648748,0.0301845591099165,0.0150922795549583,0.333333333333333,0.666666666666667,3.99003322259136,TRUE,TRUE,TRUE
"Enh155",FALSE,4,7,11,0,0,0,0.173462072257708,0.063077117184621,0.110384955073087,0,0,0,0.363636363636364,0,1101,TRUE,FALSE,TRUE
"Enh156",FALSE,4,3,7,0,1,1,0.110384955073087,0.063077117184621,0.0473078378884657,0.0150922795549583,0,0.0150922795549583,0.571428571428571,0,6.94059405940594,TRUE,FALSE,TRUE
"Enh157",FALSE,4,2,6,0,1,1,0.0946156757769315,0.063077117184621,0.0315385585923105,0.0150922795549583,0,0.0150922795549583,0.666666666666667,0,5.95049504950495,TRUE,FALSE,TRUE
"Enh158",FALSE,0,1,1,0,0,0,0.0157692792961553,0,0.0157692792961553,0,0,0,0,0,101,FALSE,FALSE,FALSE
"Enh159",FALSE,1,8,9,0,0,0,0.141923513665397,0.0157692792961553,0.126154234369242,0,0,0,0.111111111111111,0,901,TRUE,FALSE,TRUE
"Enh160",FALSE,1,0,1,0,0,0,0.0157692792961553,0.0157692792961553,0,0,0,0,1,0,101,FALSE,FALSE,FALSE
"Enh161",FALSE,0,8,8,1,5,6,0.126154234369242,0,0.126154234369242,0.0905536773297495,0.0150922795549583,0.0754613977747913,0,0.166666666666667,1.33277870216306,TRUE,TRUE,TRUE
"Enh162",TRUE,0,8,8,0,4,4,0.126154234369242,0,0.126154234369242,0.060369118219833,0,0.060369118219833,0,0,1.99750623441397,TRUE,TRUE,TRUE
"Enh163",TRUE,3,2,5,0,3,3,0.0788463964807763,0.0473078378884657,0.0315385585923105,0.0452768386648748,0,0.0452768386648748,0.6,0,1.66445182724253,TRUE,TRUE,TRUE
"Enh164",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh165",FALSE,0,1,1,0,0,0,0.0157692792961553,0,0.0157692792961553,0,0,0,0,0,101,FALSE,FALSE,FALSE
"Enh166",FALSE,0,1,1,0,0,0,0.0157692792961553,0,0.0157692792961553,0,0,0,0,0,101,FALSE,FALSE,FALSE
"Enh167",TRUE,19,48,67,0,1,1,1.0565417128424,0.29961630662695,0.756925406215452,0.0150922795549583,0,0.0150922795549583,0.283582089552239,0,66.3465346534654,TRUE,FALSE,TRUE
"Enh169",FALSE,4,3,7,0,1,1,0.110384955073087,0.063077117184621,0.0473078378884657,0.0150922795549583,0,0.0150922795549583,0.571428571428571,0,6.94059405940594,TRUE,FALSE,TRUE
"Enh170",FALSE,0,3,3,0,2,2,0.0473078378884657,0,0.0473078378884657,0.0301845591099165,0,0.0301845591099165,0,0,1.49751243781095,TRUE,FALSE,TRUE
"Enh171",FALSE,0,3,3,0,6,6,0.0473078378884657,0,0.0473078378884657,0.0905536773297495,0,0.0905536773297495,0,0,0.500831946755408,TRUE,TRUE,FALSE
"Enh172",TRUE,10,22,32,1,6,7,0.504616937476968,0.157692792961553,0.346924144515415,0.105645956884708,0.0150922795549583,0.0905536773297495,0.3125,0.142857142857143,4.56633380884451,TRUE,TRUE,TRUE
"Enh173",TRUE,12,14,26,2,8,10,0.410001261700036,0.189231351553863,0.220769910146173,0.150922795549583,0.0301845591099165,0.120738236439666,0.461538461538462,0.2,2.5984015984016,TRUE,TRUE,TRUE
"Enh174",FALSE,5,20,25,1,5,6,0.394231982403881,0.0788463964807763,0.315385585923105,0.0905536773297495,0.0150922795549583,0.0754613977747913,0.2,0.166666666666667,4.16139767054909,TRUE,TRUE,TRUE
"Enh175",FALSE,9,21,30,0,6,6,0.473078378884657,0.141923513665397,0.33115486521926,0.0905536773297495,0,0.0905536773297495,0.3,0,4.99334442595674,TRUE,TRUE,TRUE
"Enh176",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh108",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh109",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
