"Enh","Beluga.MaxDisScore"
"Enh641",1.63169451614212
"Enh642",3.35066514031405
"Enh643",3.35066514031405
"Enh644",2.97265039181746
"Enh645",2.29800052502411
"Enh646",2.0517827063911
"Enh647",2.00095650035331
"Enh648",2.23448045682752
"Enh649",2.10851829610472
"Enh65",1.48686233877504
"Enh650",2.57626274985397
"Enh651",2.75374768745432
"Enh652",1.87742372491006
"Enh653",3.09044397022396
"Enh654",3.21183162815151
"Enh655",1.79223103023316
"Enh656",1.79928626600863
"Enh657",2.73025362663587
"Enh658",2.73025362663587
"Enh659",2.63227145372679
"Enh66",2.85667286969573
"Enh660",3.86327942967339
"Enh661",2.2333641136154
"Enh662",2.37602748787976
"Enh663",1.3222288493085
"Enh664",4.10237290321188
"Enh665",2.57251389074192
"Enh666",2.00810969601973
"Enh668",2.53135733146087
"Enh669",1.53001607387659
"Enh67",2.50654194886539
"Enh670",2.49444306120058
"Enh671",2.70774392842195
"Enh672",3.32882715635887
"Enh673",2.73754891003225
"Enh674",2.89825292571003
"Enh675",2.89825292571003
"Enh676",2.88438948799291
"Enh677",2.88438948799291
"Enh678",3.13667713928462
"Enh68",2.7007106656943
"Enh680",1.1707283983157
"Enh681",2.52768245353678
"Enh682",1.18440233036077
"Enh683",1.3008649951003
"Enh684",2.27205229037395
"Enh685",3.1481303986594
"Enh686",3.5016894448316
"Enh69",2.16627930949168
"Enh691",1.67331602359765
"Enh692",1.16309383874435
"Enh693",2.26129869948602
"Enh694",2.26129869948602
"Enh695",2.0767559813179
"Enh696",1.48843746725325
"Enh697",1.6473930458442
"Enh698",1.84557602685492
"Enh699",3.10072681213471
"Enh7",2.07073438169582
"Enh70",2.11137127455865
"Enh700",2.13229686667101
"Enh701",2.80687540136714
"Enh702",1.7617782062971
"Enh703",1.7617782062971
"Enh704",0.982716178435808
"Enh705",1.28924816510742
"Enh706",1.76545740866316
"Enh707",2.02191082689818
"Enh708",2.03602338995621
"Enh709",2.02287109937354
"Enh71",2.86043573350921
"Enh710",1.99861247647007
"Enh711",1.66735958959235
"Enh712",1.66735958959235
"Enh714",0.926281649650212
"Enh715",1.19053456105878
"Enh716",3.47495519166679
"Enh717",2.63283051127884
"Enh718",2.02839947972358
"Enh719",2.57691804153882
"Enh72",1.39433947361787
"Enh720",2.57691804153882
"Enh721",1.02091165651095
"Enh722",2.04895405181557
"Enh723",1.82605656268653
"Enh724",1.68533239186144
"Enh725",3.10457745340802
"Enh726",3.10457745340802
"Enh727",2.76270766218106
